ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
ThomaKu01,Kurt,Thomas,2009,MIL,Milwaukee Bucks,N,70,1049,210,84,207,291,47,26,46,48,159,208,99,15,12,0,0,Center,3800000
ThomaTy01,Tyrus,Thomas,2009,CHR,Charlotte Bobcats,N,25,542,252,39,113,152,23,23,37,40,65,215,95,85,62,2,0,Forward,4743596
ThompJa02,Jason,Thompson,2009,SAC,Sacramento Kings,N,75,2357,939,224,413,637,124,41,73,139,279,784,370,277,198,10,1,Forward,2035920
ThornAl01,Al,Thornton,2009,WAS,Washington Wizards,N,24,674,256,31,71,102,29,20,13,36,62,216,100,72,50,17,6,Forward,1900200
ThornMa01,Marcus,Thornton,2009,NOH,New Orleans Hornets,N,73,1872,1057,72,139,211,113,58,11,76,127,883,398,177,144,313,117,Guard,457588
TolliAn01,Anthony,Tolliver,2009,POR,Portland Trail Blazers,N,2,4,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,Forward,56314
TuckeAl02,Alando,Tucker,2009,MIN,Minnesota Timberwolves,N,4,25,8,1,2,3,1,0,0,1,1,9,4,0,0,0,0,Forward,1071720
TuriaRo01,Ronny,Turiaf,2009,GSW,Golden State Warriors,N,42,872,207,54,137,191,90,23,54,49,98,146,85,78,37,1,0,Forward,4200000
TurkoHi01,Hedo,Turkoglu,2009,TOR,Toronto Raptors,N,74,2272,835,42,301,343,304,55,32,125,220,674,276,226,175,289,108,Forward,9000000
UdokaIm01,Ime,Udoka,2009,SAC,Sacramento Kings,N,69,944,250,51,140,191,58,34,6,42,83,241,91,57,42,91,26,Forward,902693
UdrihBe01,Beno,Udrih,2009,SAC,Sacramento Kings,N,79,2477,1023,38,181,219,372,89,10,136,166,841,415,141,118,199,75,Guard,6031800
UkicRo01,Roko,Ukic,2009,MIL,Milwaukee Bucks,N,13,97,40,0,3,3,12,1,0,6,6,30,14,11,9,12,3,Guard,571765
VarejAn01,Anderson,Varejao,2009,CLE,Cleveland Cavaliers,N,76,2166,651,189,389,578,87,71,67,67,223,467,267,175,116,5,1,Center,6363636
VillaCh01,Charlie,Villanueva,2009,DET,Detroit Pistons,N,78,1848,931,85,280,365,53,48,55,74,223,827,363,130,106,282,99,Forward,6500000
VujacSa01,Sasha,Vujacic,2009,LAL,Los Angeles Lakers,N,67,575,185,25,54,79,41,20,4,17,67,164,66,33,28,81,25,Guard,4524884
WadeDw01,Dwyane,Wade,2009,MIA,Miami Heat,N,77,2792,2045,107,266,373,501,142,82,252,181,1511,719,702,534,243,73,Guard,15779912
WalkeBi01,Bill,Walker,2009,NYK,New York Knicks,N,27,739,321,15,68,83,37,23,3,26,79,226,117,47,37,116,50,Guard,736420
WallaBe01,Ben,Wallace,2009,DET,Detroit Pistons,N,69,1975,381,245,352,597,105,86,84,64,131,292,158,160,65,2,0,Center,1306455
WallaGe01,Gerald,Wallace,2009,CHR,Charlotte Bobcats,N,76,3119,1386,150,612,762,161,117,83,178,194,943,456,544,422,140,52,Forward,9500000
WallaRa01,Rasheed,Wallace,2009,BOS,Boston Celtics,N,79,1780,710,42,283,325,80,80,70,63,222,650,266,125,96,290,82,Center,5854000
WaltoLu01,Luke,Walton,2009,LAL,Los Angeles Lakers,N,29,272,69,12,26,38,40,10,1,12,19,84,30,4,2,17,7,Forward,4420000
WarriHa01,Hakim,Warrick,2009,CHI,Chicago Bulls,N,28,533,243,40,62,102,17,7,8,23,43,172,83,102,77,1,0,Forward,3000000
WatsoCJ01,C.J.,Watson,2009,GSW,Golden State Warriors,N,65,1788,667,28,141,169,180,103,8,69,124,528,247,166,128,145,45,Guard,1000497
WatsoEa01,Earl,Watson,2009,IND,Indiana Pacers,N,79,2322,619,54,186,240,399,104,16,175,181,524,223,169,120,184,53,Guard,2800000
WeaveKy01,Kyle,Weaver,2009,OKC,Oklahoma City Thunder,N,12,144,36,1,17,18,11,6,6,4,13,33,12,6,5,19,7,Guard,870968
WeemsSo01,Sonny,Weems,2009,TOR,Toronto Raptors,N,69,1368,518,42,150,192,101,39,25,65,126,458,236,64,44,15,2,Guard,736420
WestbRu01,Russell,Westbrook,2009,OKC,Oklahoma City Thunder,N,82,2813,1322,143,258,401,652,108,34,268,204,1160,485,422,329,104,23,Guard,3755640
WestDa01,David,West,2009,NOH,New Orleans Hornets,N,81,2949,1541,164,441,605,239,76,60,173,233,1226,619,342,296,27,7,Forward,9075000
WestDe01,Delonte,West,2009,CLE,Cleveland Cavaliers,N,60,1500,528,29,140,169,196,55,28,90,86,436,194,142,115,77,25,Guard,4254248
WestMa02,Mario,West,2009,ATL,Atlanta Hawks,N,39,142,30,8,19,27,9,8,0,7,25,21,12,10,6,1,0,Guard,456452
WhiteDJ01,D.J.,White,2009,OKC,Oklahoma City Thunder,N,12,102,59,10,13,23,4,5,3,3,12,41,25,10,9,0,0,Forward,1036440
WilcoCh01,Chris,Wilcox,2009,DET,Detroit Pistons,N,34,441,152,44,73,117,13,13,12,38,64,120,63,52,26,0,0,Forward,3000000
WilkiDa02,Damien,Wilkins,2009,MIN,Minnesota Timberwolves,N,80,1585,451,72,177,249,135,66,25,76,144,381,165,129,103,61,18,Guard,3300000
WilksMi01,Mike,Wilks,2009,OKC,Oklahoma City Thunder,N,4,59,16,1,3,4,4,0,0,4,5,12,6,4,2,3,2,Guard,152329
